model,question_id,adoption_rate,moved_closer_rate,mean_anchor_pull,n
gemma3-27b-it,136001,0.0,0.0,0.0,5
gemma3-27b-it,139001,0.0,0.0,0.0,5
gemma3-27b-it,143001,0.0,0.0,0.0,5
gemma3-27b-it,143002,0.0,0.0,0.0,5
gemma3-27b-it,164000,0.0,0.0,0.0,5
gemma3-27b-it,294008,0.0,0.0,0.0,5
gemma3-27b-it,294015,0.0,0.0,0.0,5
gemma3-27b-it,387003,0.0,0.4,0.0,5
gemma3-27b-it,520004,0.0,0.2,0.4,5
gemma3-27b-it,536002,0.0,0.0,0.0,5
gemma3-27b-it,536005,0.0,0.4,0.4,5
gemma3-27b-it,536008,0.0,0.0,0.0,5
gemma3-27b-it,536014,0.0,0.0,0.0,5
gemma3-27b-it,536015,0.0,0.0,0.0,5
gemma3-27b-it,536029,0.0,0.0,0.0,5
gemma3-27b-it,544011,0.0,0.0,0.0,5
gemma3-27b-it,544013,0.0,0.0,0.0,5
gemma3-27b-it,626003,0.0,0.0,0.0,5
gemma3-27b-it,632004,0.0,0.0,0.0,5
gemma3-27b-it,641000,0.0,0.0,0.0,5
gemma3-27b-it,641002,0.0,0.0,0.0,5
gemma3-27b-it,641003,0.0,0.0,0.0,5
gemma3-27b-it,693000,0.2,0.2,0.2,5
gemma3-27b-it,711002,0.0,0.0,0.0,5
gemma3-27b-it,715001,0.2,0.2,0.2,5
gemma3-27b-it,757000,0.0,0.0,0.0,5
gemma3-27b-it,757007,0.0,0.0,0.0,5
gemma3-27b-it,757008,0.0,0.0,0.0,5
gemma3-27b-it,757010,0.0,0.0,0.0,5
gemma3-27b-it,757017,0.0,0.2,0.0,5
gemma3-27b-it,761002,0.0,0.0,0.0,5
gemma3-27b-it,772003,0.0,0.0,0.0,5
gemma3-27b-it,775004,0.0,0.0,0.0,5
gemma3-27b-it,775007,0.0,0.0,0.0,5
gemma3-27b-it,775010,0.0,0.0,0.0,5
gemma3-27b-it,776000,0.2,0.4,0.2,5
gemma3-27b-it,776001,0.0,0.2,0.2,5
gemma3-27b-it,776002,0.0,0.0,-0.2,5
gemma3-27b-it,885021,0.0,0.0,0.0,5
gemma3-27b-it,939002,0.2,0.2,0.2,5
gemma3-27b-it,969006,0.0,0.0,0.0,5
gemma3-27b-it,969010,0.0,0.0,0.0,5
gemma3-27b-it,974001,0.0,0.0,0.0,5
gemma3-27b-it,985002,0.2,0.2,0.0,5
gemma3-27b-it,985013,0.6,0.6,1.0,5
gemma3-27b-it,985019,0.0,0.0,0.0,5
gemma3-27b-it,1000004,0.0,0.0,0.0,5
gemma3-27b-it,1083003,0.0,0.0,0.0,5
gemma3-27b-it,1103000,0.0,0.0,0.0,5
gemma3-27b-it,1138004,0.2,0.2,0.4,5
gemma3-27b-it,1146002,0.0,0.0,0.0,5
gemma3-27b-it,1149001,0.0,0.0,0.0,5
gemma3-27b-it,1153000,0.0,0.0,0.0,5
gemma3-27b-it,1153002,0.0,0.0,0.0,5
gemma3-27b-it,1153003,0.0,0.0,0.0,5
gemma3-27b-it,1153005,0.0,0.0,0.0,5
gemma3-27b-it,1153008,0.0,0.0,0.0,5
gemma3-27b-it,1153010,0.0,0.0,0.0,5
gemma3-27b-it,1153011,0.0,0.0,0.0,5
gemma3-27b-it,1153013,0.0,0.0,0.0,5
gemma3-27b-it,1205001,0.0,0.0,0.0,5
gemma3-27b-it,1244002,0.0,0.0,0.0,5
gemma3-27b-it,1290001,0.0,0.0,0.0,5
gemma3-27b-it,1296000,0.0,0.0,0.0,5
gemma3-27b-it,1342000,0.0,0.4,0.4,5
gemma3-27b-it,1342015,0.2,0.2,0.0,5
gemma3-27b-it,1342051,0.0,0.2,-1.4,5
gemma3-27b-it,1342064,0.2,0.4,0.0,5
gemma3-27b-it,1436000,0.0,0.0,0.0,5
gemma3-27b-it,1490001,0.0,0.0,0.0,5
gemma3-27b-it,1525001,0.2,0.8,4.4,5
gemma3-27b-it,1525008,0.0,0.0,0.0,5
gemma3-27b-it,1525026,0.2,0.2,1.6,5
gemma3-27b-it,1532004,0.0,0.2,0.0,5
gemma3-27b-it,1573001,0.0,0.0,0.0,5
gemma3-27b-it,1584004,0.0,0.0,0.0,5
gemma3-27b-it,1591003,0.2,0.4,-0.2,5
gemma3-27b-it,1682005,0.0,0.0,0.0,5
gemma3-27b-it,1682006,0.0,0.0,0.0,5
gemma3-27b-it,1779003,0.0,0.0,0.0,5
gemma3-27b-it,2142001,0.0,0.2,0.2,5
gemma3-27b-it,2149002,0.0,0.0,0.0,5
gemma3-27b-it,2149004,0.0,0.0,0.0,5
gemma3-27b-it,2171003,0.0,0.0,-0.2,5
gemma3-27b-it,2240000,0.0,0.0,0.0,5
gemma3-27b-it,2255012,0.0,0.0,0.0,5
gemma3-27b-it,2302001,0.0,0.0,0.0,5
gemma3-27b-it,2434000,0.0,0.0,0.0,5
gemma3-27b-it,2473000,0.0,0.0,0.0,5
gemma3-27b-it,2521000,0.0,0.6,0.2,5
gemma3-27b-it,2529001,0.0,0.4,0.2,5
gemma3-27b-it,2613006,0.0,0.0,0.0,5
gemma3-27b-it,2613011,0.0,0.0,0.0,5
gemma3-27b-it,2613012,0.0,0.0,0.0,5
gemma3-27b-it,2640000,0.0,0.0,0.0,5
gemma3-27b-it,2640003,0.0,0.0,0.0,5
gemma3-27b-it,2684000,0.0,0.4,0.4,5
gemma3-27b-it,2684002,0.0,0.0,-0.6,5
gemma3-27b-it,2685002,0.0,0.0,0.0,5
gemma3-27b-it,2759002,0.0,0.0,0.0,5
gemma3-27b-it,2894004,0.0,0.0,-0.2,5
gemma3-27b-it,2972002,0.0,0.0,0.0,5
gemma3-27b-it,2985003,0.0,0.0,0.0,5
gemma3-27b-it,2985007,0.0,0.0,0.0,5
gemma3-27b-it,3001002,0.2,0.6,0.6,5
gemma3-27b-it,3244001,0.0,0.0,0.0,5
gemma3-27b-it,3255000,0.0,0.0,0.0,5
gemma3-27b-it,3342000,0.2,0.6,0.6,5
gemma3-27b-it,3480005,0.0,0.0,-0.4,5
gemma3-27b-it,3580001,0.0,0.0,0.0,5
gemma3-27b-it,3595002,0.0,0.0,0.0,5
gemma3-27b-it,3703002,0.0,0.0,0.0,5
gemma3-27b-it,3779003,0.0,0.0,0.0,5
gemma3-27b-it,3845002,0.0,0.0,0.0,5
gemma3-27b-it,3939001,0.0,0.0,0.0,5
gemma3-27b-it,3939002,0.0,0.2,0.4,5
gemma3-27b-it,4066001,0.0,0.0,0.0,5
gemma3-27b-it,4069001,0.0,0.0,0.0,5
gemma3-27b-it,4125004,0.0,0.0,0.0,5
gemma3-27b-it,4125005,0.2,0.4,0.6,5
gemma3-27b-it,4229002,0.0,0.0,0.0,5
gemma3-27b-it,4243003,0.0,0.8,0.6,5
gemma3-27b-it,4246002,0.0,0.4,0.0,5
gemma3-27b-it,4256002,0.0,0.0,0.0,5
gemma3-27b-it,4256004,0.0,0.0,0.0,5
gemma3-27b-it,4265002,0.0,0.6,0.2,5
gemma3-27b-it,4266010,0.2,0.6,0.4,5
gemma3-27b-it,4283001,0.0,0.0,0.0,5
gemma3-27b-it,4495002,0.0,0.0,0.0,5
gemma3-27b-it,4554001,0.0,0.0,0.0,5
gemma3-27b-it,4576005,0.0,0.0,0.0,5
