experiment,dataset,model,run,path
experiment,VQAv2,gemma3-27b-it,20260412-011706,outputs/experiment/gemma3-27b-it/20260412-011706/predictions.jsonl
experiment,VQAv2,gemma4-31b-it,20260412-120052,outputs/experiment/gemma4-31b-it/20260412-120052/predictions.jsonl
experiment,VQAv2,gemma4-e4b,20260411-235419,outputs/experiment/gemma4-e4b/20260411-235419/predictions.jsonl
experiment,VQAv2,llava-next-interleaved-7b,20260411-174859,outputs/experiment/llava-next-interleaved-7b/20260411-174859/predictions.jsonl
experiment,VQAv2,qwen2.5-vl-7b-instruct,20260411-213927,outputs/experiment/qwen2.5-vl-7b-instruct/20260411-213927/predictions.jsonl
experiment,VQAv2,qwen2.5-vl-7b-instruct,20260427-075523,outputs/experiment/qwen2.5-vl-7b-instruct/20260427-075523/predictions.jsonl
experiment,VQAv2,qwen3-vl-30b-it,20260412-092237,outputs/experiment/qwen3-vl-30b-it/20260412-092237/predictions.jsonl
experiment,VQAv2,qwen3-vl-8b-instruct,20260411-214510,outputs/experiment/qwen3-vl-8b-instruct/20260411-214510/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,20260411-214249,outputs/experiment_anchor_strengthen_prompt/gemma3-27b-it/20260411-214249/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,20260412-035848,outputs/experiment_anchor_strengthen_prompt/gemma3-27b-it/20260412-035848/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,20260411-215755,outputs/experiment_anchor_strengthen_prompt/gemma4-31b-it/20260411-215755/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,20260411-204327,outputs/experiment_anchor_strengthen_prompt/gemma4-e4b/20260411-204327/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,20260412-003458,outputs/experiment_anchor_strengthen_prompt/llava-next-interleaved-7b/20260412-003458/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,qwen2.5-vl-7b-instruct,20260411-225608,outputs/experiment_anchor_strengthen_prompt/qwen2.5-vl-7b-instruct/20260411-225608/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,qwen2.5-vl-7b-instruct,20260412-111425,outputs/experiment_anchor_strengthen_prompt/qwen2.5-vl-7b-instruct/20260412-111425/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-30b-it,20260411-205031,outputs/experiment_anchor_strengthen_prompt/qwen3-vl-30b-it/20260411-205031/predictions.jsonl
experiment_anchor_strengthen_prompt,VQAv2,qwen3-vl-8b-instruct,20260411-181202,outputs/experiment_anchor_strengthen_prompt/qwen3-vl-8b-instruct/20260411-181202/predictions.jsonl
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,20260427-091439,outputs/experiment_distance_vqa/llava-next-interleaved-7b/20260427-091439/predictions.jsonl
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,20260427-091440,outputs/experiment_distance_tally/llava-next-interleaved-7b/20260427-091440/predictions.jsonl
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,20260427-123331,outputs/experiment_e5c_vqa/llava-next-interleaved-7b/20260427-123331/predictions.jsonl
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,20260427-123332,outputs/experiment_e5c_tally/llava-next-interleaved-7b/20260427-123332/predictions.jsonl
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,20260428-001359,outputs/experiment_e5e_chartqa_full/gemma3-27b-it/20260428-001359/predictions.jsonl
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,20260427-171240,outputs/experiment_e5e_chartqa_full/llava-next-interleaved-7b/20260427-171240/predictions.jsonl
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,20260427-235812,outputs/experiment_e5e_chartqa_full/qwen2.5-vl-7b-instruct/20260427-235812/predictions.jsonl
experiment_e5e_tallyqa_full,TallyQA,llava-next-interleaved-7b,20260427-171240,outputs/experiment_e5e_tallyqa_full/llava-next-interleaved-7b/20260427-171240/predictions.jsonl
